imdbID,Title,Actors,Genre,Country,Language,Production,Rated,Runtime,Year,imdbRating,Responsibility,popularity2,totalVotes,budget2
tt1825683,Black Panther, Danai Gurira,Action,USA,English,Marvel Studios,PG-13,134,2018,7.8,characters,92.593,11996,1346739107
tt0357507,Boogeyman, Tory Mussett,Drama,Germany,English,Screen Gems,PG-13,89,2005,4.2,story,7.337,338,67192859
tt1614989,Headhunters, Eivind Sander,Crime,Germany,German,Magnolia Pictures,R,96,2011,7.6,screenplay,8.521,597,15699707
tt0117665,Sleepers, Ron Eldard,Crime,USA,English,Warner Bros.,R,147,1996,7.6,book,11.747,1386,165615285
tt0462519,School for Scoundrels, Michael Clarke Duncan,Comedy,USA,English,MGM,PG-13,100,2006,5.9,screenplay,8.519,171,17807569
tt0960731,Bedtime Stories, Russell Brand,Comedy,USA,English,Walt Disney Pictures,PG,99,2008,6.1,screenplay,10.007,1638,212874442
tt0107497,Malice, Bebe Neuwirth,Crime,Canada,English,Sony Pictures Entertainment,R,107,1993,6.4,story,9.15,180,46405336
tt0775539,Stomp the Yard, Darrin Dewitt Henson,Drama,USA,English,Screen Gems,PG-13,109,2007,5.3,screenplay,8.444,164,75511123
tt0790736,R.I.P.D., Mary-Louise Parker,Action,USA,English,Universal Pictures,PG-13,96,2013,5.6,screenplay,16.162,2012,61648500
tt1291584,Warrior, Jennifer Morrison,Drama,Spain,Spanish,Lionsgate,PG-13,140,2011,8.2,screenplay,12.9,2147,23057115
tt0775489,The Illusionist, Raymond Mearns,Animation,France,French,Sony Pictures Classics,PG,80,2010,7.5,adaptation,21.708,272,6007194
tt1131724,2:22, Maeve Dermody,Thriller,Australia,English,Magnolia Pictures,PG-13,98,2017,5.7,screenplay,11.018,793,3500000
tt0120703,How Stella Got Her Groove Back, Regina King,Comedy,USA,English,20th Century Fox,R,124,1998,5.6,novel,3.03,42,37672350
tt0119668,Midnight in the Garden of Good and Evil, Irma P. Hall,Crime,France,French,Warner Bros.,R,155,1997,6.6,book,8.745,276,25105255
tt0878804,The Blind Side, Jae Head,Biography,USA,English,Warner Bros.,PG-13,129,2009,7.7,book,12.059,2772,309208309
tt0119592,Mad City, Alan Alda,Crime,USA,English,Warner Bros.,PG-13,115,1997,6.2,screenplay,9.87,130,10541523
tt0106246,Alive, Bruce Ramsay,Adventure,Canada,English,Buena Vista,R,120,1993,7.1,book,7.214,647,36733909
tt1655420,My Week with Marilyn, Kenneth Branagh,Biography,UK,English,The Weinstein Co.,R,99,2011,7,screenplay,12.271,724,35057696
tt0120185,Spice World, Geri Horner,Comedy,UK,English,Sony Pictures Entertainment,PG,93,1997,3.4,idea,7.251,219,100000000
tt2333804,The Zero Theorem, Ray Cooper,Comedy,UK,English,Amplify Releasing,R,107,2013,6.1,screenplay,9.33,610,770706
tt0099088,Back to the Future Part III, Thomas F. Wilson,Adventure,USA,English,MCA Universal Home Video,PG,118,1990,7.4,characters,10.315,5352,244527583
tt0429591,Aquamarine, Jake McDorman,Comedy,USA,English,20th Century Fox,PG,104,2006,5.3,screenplay,10.223,766,23006849
tt0118661,The Avengers, Patrick Macnee,Action,USA,English,Warner Bros.,PG-13,89,1998,3.7,series,9.11,330,48585416
tt0170016,How the Grinch Stole Christmas, Jeffrey Tambor,Comedy,Germany,German,Universal Pictures,PG,104,2000,6.1,book,16.892,3538,345141403
tt1634122,Johnny English Reborn, Togo Igawa,Action,USA,English,Universal Pictures,PG,101,2011,6.3,screenplay,12.193,1767,160078586
tt0277296,The Scorpion King, Kelly Hu,Action,Germany,English,Universal Pictures,PG-13,92,2002,5.5,story,18.314,1603,165333180
tt1077368,Dark Shadows, Eva Green,Comedy,Australia,English,Warner Bros.,PG-13,113,2012,6.2,screenplay,16.116,4117,245527149
tt0420251,Three... Extremes, Meme Tian,Horror,Japan,Japanese,Lionsgate,R,125,2004,7,segment,5.83,138,176532
tt0947810,Green Zone, Aymen Hamdouchi,Action,Spain,Spanish,Universal Pictures,R,115,2010,6.8,book,11.285,1160,94882889
tt0339291,A Series of Unfortunate Events, Kara Hoffman,Adventure,Germany,English,Paramount Pictures,PG,108,2004,6.8,screenplay,14.487,2926,209073645
tt0246460,Die Another Day, Rosamund Pike,Action,UK,English,MGM,PG-13,133,2002,6.1,characters,19.222,1817,431971116
tt1714866,Midnight's Children, Neha Mahajan,Drama,Canada,English,Paladin Films,TV-14,146,2012,6.2,screenplay,2.617,20,884100
tt0489099,Jumper, Diane Lane,Action,China,Mandarin,20th Century Fox,PG-13,88,2008,6.1,screenplay,11.525,3129,222231186
tt0463854,28 Weeks Later, Harold Perrineau,Drama,UK,English,Fox Atomic,R,100,2007,7,screenplay,16.024,2127,64238440
tt6644200,A Quiet Place, Millicent Simmonds,Drama,USA,English,Paramount Pictures,TV-Y,95,2018,8.7,screenplay,28.893,5675,340677200
tt2191701,Grown Ups 2, David Spade,Comedy,USA,English,Sony Pictures,PG-13,101,2013,5.4,characters,13.685,2049,246984278
tt1397514,Journey 2: The Mysterious Island, Luis Guzmán,Action,USA,English,New Line Cinema,PG,94,2012,5.8,screenplay,13.851,2105,355692760
tt0372784,Batman Begins, Katie Holmes,Action,China,Mandarin,Warner Bros.,PG-13,140,2005,8.3,characters,50.465,11963,374218673
tt0462499,Rambo, Graham McTavish,Action,Germany,German,Lionsgate,R,92,2008,7,characters,19.661,1688,45322100
tt3315342,Logan, Boyd Holbrook,Action,Spain,Spanish,20th Century Fox,R,137,2017,8.1,short story,73.876,12101,616801808
tt0160009,The Art of War, Marie Matiko,Action,USA,English,Warner Bros.,R,117,2000,5.7,story,8.108,226,30199105
tt1542344,127 Hours, Sean Bott,Adventure,France,Italian,Fox Searchlight,R,94,2010,7.6,screenplay,11.484,4387,35692920
tt1487118,Chalet Girl, Bill Bailey,Comedy,UK,English,IFC Films,R,97,2011,6.3,screenplay,26.96,364,1749457
tt1714206,The Spectacular Now, Masam Holden,Comedy,USA,English,A24,R,95,2013,7.1,screenplay,10.938,1768,6854611
tt0109403,Chasers, Crispin Glover,Comedy,USA,English,Warner Bros.,R,102,1994,5,story,6.15,44,1596687
tt1139328,The Ghost Writer, Jim Belushi,Drama,France,English,Summit Entertainment,PG-13,128,2010,7.2,screenplay,9.953,1119,60222298
tt0100680,Stanley & Iris, Martha Plimpton,Drama,USA,English,MGM,PG-13,104,1990,6.3,novel,3.419,54,5820015
tt1024648,Argo, John Goodman,Biography,USA,English,Warner Bros.,R,120,2012,7.7,screenplay,14.688,5057,232324128
tt0111280,Star Trek: Generations, LeVar Burton,Action,USA,English,Paramount Pictures,PG,118,1994,6.6,series,6.975,655,120000000
tt1496422,The Paperboy, John Cusack,Crime,USA,English,Millenium Films,R,107,2012,5.8,screenplay,26.989,397,1353868
